status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
47298465905_10154465731020906,"b""Video | KiniTV: A group of Malay NGOs have demanded that film director David Teo apologises publicly, and on a live presentation, to all Malaysians for being rude at an event attended by the prime minister.\n\nGabungan Memertabatkan Pejuang Negara (GMPN) president Major (Rtd) Razali Zakaria went on to congratulate comedian Sulaiman Yassin, also known as Mat Over, for stopping Teo's speech by taking swift action.""","b""David Teo to face protest if he doesn't apologise""",link,http://www.kinitv.com/video/48394O8,2017-05-18 03:13:08,178,732,133
47298465905_10154465712200906,"b'The minister responds to a woman, who raised the issue of public safety at a TN50 dialogue.'","b""Dress shabbily to avoid harassment, Ku Nan's tells women""",link,http://dlvr.it/P9lWxK,2017-05-18 02:58:16,60,146,96
47298465905_10154465712125906,"b'David Teo should do it live, to all Malaysians, for being rude at event attended by PM, says GMPN.'","b'Apologise or face protest, Malay NGO group tells film director'",link,http://dlvr.it/P9lWfY,2017-05-18 02:58:10,479,1605,505
47298465905_10154465711910906,"b""Anwar's application is frivolous, vexatious and borders on sedition, it argues.""","b""Gov't applies to strike out Anwar's bid to overturn Sodomy II""",link,http://dlvr.it/P9lWNH,2017-05-18 02:58:05,20,12,7
47298465905_10154465674440906,"b'If a slapping incident happened in front of him, Guan Eng says he would lodge a police report.'",b'Guan Eng says he would have tried to stop slap incident',link,http://dlvr.it/P9l1mg,2017-05-18 02:25:22,583,81,104
47298465905_10154465674390906,"b'Stephen Rundi says this is what the various water supply programmes under the 11MP, 12MP will cost.'",b'S\xe2\x80\x99wak needs RM17 b for rural water supply plan',link,http://dlvr.it/P9l1dp,2017-05-18 02:25:19,19,18,2
47298465905_10154465674260906,"b""Raja Petra's vitriolic attack on Irwan Serigar has tongues wagging.""",b'All is not well in the house of Najib?',link,http://dlvr.it/P9l1Fn,2017-05-18 02:25:10,90,21,28
47298465905_10154465635120906,"b""'Thank God the surgery went smoothly, he is now in the process of recovery,' PM says.""",b'Najib spends time to visit Hadi in IJN',link,http://dlvr.it/P9kTSw,2017-05-18 01:53:23,28,31,5
47298465905_10154465634890906,"b""It's up to the sultan, who acts on MB's advice, says PAS sec-gen.""","b""PAS decides to stay put in S'gor exco""",link,http://dlvr.it/P9kTS0,2017-05-18 01:53:21,34,62,24
47298465905_10154465634855906,b'The dialogue had a gleeful moment when moderator Rosyam Nor teased the PM about his love for wife Rosmah.',b'Najib teased on romance with Rosmah at TN50 do',link,http://dlvr.it/P9kTPQ,2017-05-18 01:53:18,35,90,9
